SKU,Nome,Data de preço promocional começa em,Data de preço promocional termina em,Preço promocional,Preço
2421,"Tapete de Couro Grande 2,34 x 2,10 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2422,"Tapete de Couro Grande 2,50 x 2,23 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2423,"Tapete de Couro Grande 2,44 x 2,13 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2424,"Tapete de Couro Grande 2,43 x 2,06 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2425,"Tapete de Couro Grande 2,36 x 1,96 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2426,"Tapete de Couro Grande 2,44 x 2,13 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2427,"Tapete de Couro Grande 2,43 x 2,08 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2428,"Tapete de Couro Grande 2,58 x 2,10 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2719,"Tapete de Couro PP - 1,81 x 1,30 m",11/15/21 0:00,11/26/21 23:59,351,390
2721,"Tapete de Couro PP - 1,61 x 1,30 m",11/15/21 0:00,11/26/21 23:59,351,390
2722,"Tapete de Couro PP - 1,51 x 1,51 m",11/15/21 0:00,11/26/21 23:59,351,390
2724,"Tapete de Couro PP - 1,66 x 1,45 m",11/15/21 0:00,11/26/21 23:59,351,390
2725,"Tapete de Couro PP - 1,62 x 1,21 m",11/15/21 0:00,11/26/21 23:59,351,390
2726,"Tapete de Couro PP - 1,45 x 1,30 m",11/15/21 0:00,11/26/21 23:59,351,390
2728,"Tapete de Couro PP - 1,50 x 1,51 m",11/15/21 0:00,11/26/21 23:59,351,390
2729,"Tapete de Couro PP - 1,81 x 1,61 m",11/15/21 0:00,11/26/21 23:59,351,390
2730,"Tapete de Couro PP - 1,62 x 1,29 m",11/15/21 0:00,11/26/21 23:59,351,390
2731,"Tapete de Couro PP - 1,53 x 1,28 m",11/15/21 0:00,11/26/21 23:59,351,390
2732,"Tapete de Couro PP - 1,65 x 1,34 m",11/15/21 0:00,11/26/21 23:59,351,390
2733,"Tapete de Couro PP - 1,62 x 1,34 m",11/15/21 0:00,11/26/21 23:59,351,390
2734,"Tapete de Couro PP - 1,50 x 1,63 m",11/15/21 0:00,11/26/21 23:59,351,390
2735,"Tapete de Couro PP - 1,65 x 1,51 m",11/15/21 0:00,11/26/21 23:59,351,390
2736,"Tapete de Couro PP - 1,77 x 1,47 m",11/15/21 0:00,11/26/21 23:59,351,390
2737,"Tapete de Couro PP - 1,72 x 1,54 m",11/15/21 0:00,11/26/21 23:59,351,390
2738,"Tapete de Couro PP - 1,79 x 1,49 m",11/15/21 0:00,11/26/21 23:59,351,390
2739,"Tapete de Couro PP - 1,45 x 1,53 m",11/15/21 0:00,11/26/21 23:59,351,390
2740,"Tapete de Couro PP - 1,58 x 1,39 m",11/15/21 0:00,11/26/21 23:59,351,390
2741,"Tapete de Couro PP - 1,50 x 1,63 m",11/15/21 0:00,11/26/21 23:59,351,390
2742,"Tapete de Couro PP - 1,56 x 1,65 m",11/15/21 0:00,11/26/21 23:59,351,390
2501-19,Tapete de Couro Bezerro - 95 x 77 cm Apróx.,11/15/21 0:00,11/26/21 23:59,"170,1",189
2501-21,Tapete de Couro Bezerro - 95 x 77 cm Apróx.,11/15/21 0:00,11/26/21 23:59,"170,1",189
2501-24,Tapete de Couro Bezerro - 95 x 77 cm Apróx.,11/15/21 0:00,11/26/21 23:59,"170,1",189
2501-25,Tapete de Couro Bezerro - 95 x 77 cm Apróx.,11/15/21 0:00,11/26/21 23:59,"170,1",189
2501-26,Tapete de Couro Bezerro - 95 x 77 cm Apróx.,11/15/21 0:00,11/26/21 23:59,"170,1",189
2501-27,Tapete de Couro Bezerro - 95 x 77 cm Apróx.,11/15/21 0:00,11/26/21 23:59,"170,1",189
2501-3,Tapete de Couro Bezerro - 95 x 77 cm Apróx.,11/15/21 0:00,11/26/21 23:59,"170,1",189
