SKU,Nome,Preço,
8706-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 2,00m Diâmetro",1069,
8707-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 2,50m Diâmetro",1699,
8707-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 2,50m Diâmetro",1669,
8707-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 2,50m Diâmetro",1669,
8708-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 3,00m Diâmetro",2399,
8708-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 3,00m Diâmetro",2399,
8708-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 3,00m Diâmetro",2399,
COLMEIA_METALIZADO,Tapete de Couro Redondo - Colmeia - Metalizado,,
REDONDO_3D-1,Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco,,
REDONDO_3D-2,Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom,,
REDONDO_3D-3,Tapete de Couro Redondo - Geométrico 3D - Cinza,,
REDONDO_BEGE1,Tapete de Couro Redondo - Bege - Quadriculado 10x10,,
REDONDO_CARAMELO1,Tapete de Couro Redondo - Caramelo - Quadriculado 10x10,,
REDONDO_CINZA1,Tapete de Couro Redondo - Cinza - Quadriculado 10x10,,
REDONDO_CINZA-ESCURO,Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10,,
REDONDO_MALHADO-VERMELHO1,Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10,,
REDONDO_MIX-MARROM-BRANCO-CINZA,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10",,
REDONDO_PRETO-BRANCO-MALHADO,Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10,,
REDONDO_SALINO-PRETO-BRANCO,Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10,,
