4204-5,"Banqueta Pés Palito M - Cinza - Couro Legítimo",0,1
5070,"Banqueta Pele de ovelha - Pés Palito M - Branco/Off White",0,2
5080,"Banqueta Pele de ovelha - Pés Palito G - Branco/Off White",0,0
1103-05-2,"Tapete de Couro – Bege Claro – 1,0 x 1,5 m Quadriculado (5×5)",0,2
1103-14-2,"Tapete de Couro – Bege – 1,0 x 1,5 m Quadriculado (5×5)",0,0
1103-10-2,"Tapete de Couro – Champanhe – 1,0 x 1,5 m Quadriculado (5×5)",0,2
1104-12-2,"Tapete de Couro – Branco – 1,5 x 2,0 m Quadriculado (5×5)",0,3
1204-10-2,"Tapete de Couro – Champanhe – 1,5 x 2,0 Quadriculado (7×7)",0,0
1306-17-2,"Tapete de Couro - Off White - 2,0 x 2,5m Quadriculado (10x10)",0,0
1207-08-2,"Tapete de Couro – Marrom Avermelhado Malhado – 2,0 x 3,0 Quadriculado (7×7)",0,0
2050,"Tapete de Couro Médio 2,20 x 1,70 m",0,1
1304-05-2,"Tapete de Couro – Bege Claro  – 1,5 x 2,0 Quadriculado (10×10)",0,0
1304-17-2,"Tapete de Couro – Off White  – 1,5 x 2,0 Quadriculado (10×10)",0,0
7115-08-2,"Tapete de Couro - Passadeira -Marrom Avermelhado Malhado - 0,60 x 3,0m Quadriculado (5x5)",0,0
4220-1,"Banqueta e Mesa Amsterdã - Couro Legítimo",0,0
7307-8,"Tapete em Couro Legítimo Passadeira 0,60 x 2,0 m Quadriculado 10x10",0,0
7301-1,"Tapete em Couro Legítimo Passadeira 0,50 x 1,50 m Quadriculado 10x10",0,1
1103-05-1,"Tapete de Couro – Bege Claro – 1,0 x 1,5 m Quadriculado (5×5)",0,0
1103-13-2,"Tapete de Couro – Caramelo – 1,0 x 1,5 m Quadriculado (5×5)",0,1
1103-11-1,"Tapete de Couro – Exótico – 1,0 x 1,5 m Quadriculado (5×5)",0,0
1103-31-2,"Tapete de Couro – Champanhe e Branco – 1,0 x 1,5 m Quadriculado (5×5)",0,0
1303-19-2,"Tapete de Couro – Marrom – 1,0 x 1,5 m Quadriculado (10×10)",0,1
1303-14-2,"Tapete de Couro – Bege – 1,0 x 1,5 m Quadriculado (10×10)",0,0
1303-14-1,"Tapete de Couro – Bege – 1,0 x 1,5 m Quadriculado (10×10)",0,1
1203-14-1,"Tapete de Couro – Bege – 1,0 x 1,5 m Quadriculado (7×7)",0,1
1203-16-1,"Tapete de Couro – Preto e Branco Salpicado – 1,0 x 1,5 m Quadriculado (7×7)",0,1
3303-1,"Tapete de Couro Geométrico – 1,0 x 1,5 m",0,1
3303-2,"Tapete de Couro Geométrico – 1,0 x 1,5 m",0,1
3303-3,"Tapete de Couro Geométrico – 1,0 x 1,5 m",0,1
3303-4,"Tapete de Couro Geométrico – 1,0 x 1,5 m",0,0
2105,"Tapete de Couro Médio 2,10 x 1,83 m",0,0
2334,"Tapete de Couro Grande 2,28 x 2,00 m",0,1
2335,"Tapete de Couro Grande 2,23 x 1,98 m",0,1
2338,"Tapete de Couro Grande 2,26 x 2,00 m",0,1
7115-10-2,"Tapete de Couro - Passadeira -Champanhe - 0,60 x 3,0 m Quadriculado (5x5)",0,0
7107-08-2,"Tapete de Couro - Passadeira - Marrom Avermelhado Malhado - 0,60 x 2,0 m - Quadriculado (5x5)",0,0
7107-11-2,"Tapete de Couro - Passadeira - Exótico Escuro - 0,60 x 2,0m - Quadriculado (5x5)",0,0
7107-09-2,"Tapete de Couro - Passadeira - Preto - 0,60 x 2,0m - Quadriculado (5x5)",0,0
7102-02-2,"Tapete de Couro - Passadeira - Exótico Claro - 0,60 x 1,50m - Quadriculado (5x5)",0,0
7102-01-2,"Tapete de Couro - Passadeira - Preto e Branco - 0,60 x 1,50 m - Quadriculado (5x5)",0,1
1103-08-2,"Tapete de Couro – Marrom Avermelhado Malhado – 1,0 x 1,5 m Quadriculado (5×5)",0,0
1203-13-2,"Tapete de Couro – Caramelo – 1,0 x 1,5 m Quadriculado (7×7)",0,2
1203-10-2,"Tapete de Couro – Champanhe – 1,0 x 1,5 m Quadriculado (7×7)",0,1
1203-11-2,"Tapete de Couro – Exótico Escuro – 1,0 x 1,5 m Quadriculado (7×7)",0,0
1203-01-2,"Tapete de Couro – Preto e Branco – 1,0 x 1,5 m Quadriculado (7×7)",0,1
1303-01-2,"Tapete de Couro – Preto e Branco – 1,0 x 1,5 m Quadriculado (10×10)",0,1
1303-10-2,"Tapete de Couro – Champanhe – 1,0 x 1,5 m Quadriculado (10×10)",0,1
1303-06-2,"Tapete de Couro – Preto e Branco Malhado – 1,0 x 1,5 m Quadriculado (10×10)",0,1
1104-04-2,"Tapete de Couro – Bege Malhado – 1,5 x 2,0 m Quadriculado (5×5)",0,0
1104-07-2,"Tapete de Couro – Marrom Avermelhado Malhado – 1,5 x 2,0 Quadriculado (5×5)",0,0
1204-06-2,"Tapete de Couro – Preto e Branco Malhado  – 1,5 x 2,0 m Quadriculado (7×7)",0,1
1304-01-2,"Tapete de Couro – Preto e Branco  – 1,5 x 2,0 m Quadriculado (10×10)",0,1
1106-01-2,"Tapete de Couro - Preto e Branco - 2,0 x 2,5m - Quadriculado (5x5)",0,0
1106-35-2,"Tapete de Couro - Mix de Marrom, Branco e Cinza - 2,0 x 2,5m - Quadriculado (5x5)",0,0
1206-10-2,"Tapete de Couro - Champanhe - 2,0 x 2,5m Quadriculado (7x7)",0,0
1206-29-2,"Tapete de Couro - Preto e Branco Malhado - 2,0 x 2,5m Quadriculado (7x7)",0,0
1306-08-2,"Tapete de Couro - Marrom Avermelhado Malhado - 2,0 x 2,5m Quadriculado (10x10)",0,1
1306-10-2,"Tapete de Couro - Champanhe - 2,0 x 2,5m Quadriculado (10x10)",0,1
1107-01-2,"Tapete de Couro - Preto e Branco - 2,0 x 3,0 Quadriculado (5x5)",0,1
1107-10-2,"Tapete de Couro - Champanhe - 2,0 x 3,0 Quadriculado (5x5)",0,0
1307-12-2,"Tapete de Couro - Branco - 2,0 x 3,0 Quadriculado (10x10)",0,0
1107-05-2,"Tapete de Couro - Bege Claro - 2,0 x 3,0 Quadriculado (5x5)",0,0
4204-9,"Banqueta Pés Palito M - Preto e Branco - Couro Legítimo",0,1
4204-10,"Banqueta Pés Palito M - Champanhe - Couro Legítimo",0,0
4102-1,"Namoradeira - Couro Legítimo",0,0
4102-7,"Namoradeira - Couro Legítimo",0,0
